#,section_integer,section_name
1,1,Others
2,2,기타금융
3,3,통신서비스
4,4,운수창고업
5,5,금속
6,6,광업
7,7,기타서비스
8,8,IT부품
9,9,전기·가스·수도
10,10,운송장비·부품
11,11,컴퓨터서비스
12,12,음식료품
13,13,기타제조업
14,14,의료·정밀기기
15,15,방송서비스
16,16,정보기기
17,17,화학
18,18,제약
19,19,통신장비
20,20,기타제조
21,21,통신업
22,22,전기전자
23,23,비금속광물
24,24,금융
25,25,운송
26,26,유통
27,27,건설업
28,28,오락·문화
29,29,일반전기전자
30,30,은행
31,31,종이·목재
32,32,소프트웨어
33,33,섬유·의류
34,34,증권
35,35,숙박·음식
36,36,건설
37,37,기계
38,38,비금속
39,39,음식료·담배
40,40,운수장비
41,41,전기가스업
42,42,디지털컨텐츠
43,43,섬유의복
44,44,철강금속
45,45,"농업, 임업 및 어업"
46,46,종이목재
47,47,기계·장비
48,48,출판·매체복제
49,49,보험
50,50,의약품
51,51,인터넷
52,52,의료정밀
53,53,반도체
54,54,유통업
55,55,서비스업
