#,id,app_label,model
1,1,admin,logentry
2,16,appRestAPI,stockuser
3,18,appStockAccount,user
4,14,appStockInfo,stockitem
5,11,appStockInfo,stockitemlistname
6,13,appStockInfo,stockitemlistsection
7,15,appStockInfo,stocklastupdatetime
8,12,appStockInfo,stocksection
9,10,appStockInfo,stocktick
10,17,appStockPrediction,stockpredictionhistory
11,3,auth,group
12,2,auth,permission
13,8,authtoken,token
14,9,authtoken,tokenproxy
15,4,contenttypes,contenttype
16,6,django_apscheduler,djangojob
17,7,django_apscheduler,djangojobexecution
18,5,sessions,session
