#,id,app,name,applied
1,1,contenttypes,0001_initial,2022-01-09 06:00:33.615848
2,2,auth,0001_initial,2022-01-09 06:00:34.112893
3,3,admin,0001_initial,2022-01-09 06:00:34.251665
4,4,admin,0002_logentry_remove_auto_add,2022-01-09 06:00:34.278084
5,5,admin,0003_logentry_add_action_flag_choices,2022-01-09 06:00:34.297279
6,6,appRestAPI,0001_initial,2022-01-09 06:00:34.335947
7,7,appStockAccount,0001_initial,2022-01-09 06:00:34.450532
8,8,appStockInfo,0001_initial,2022-01-09 06:00:34.871158
9,9,appStockPrediction,0001_initial,2022-01-09 06:00:34.995065
10,10,appStockPrediction,0002_stockpredictionhistory_initial_close,2022-01-09 06:00:35.055953
11,11,contenttypes,0002_remove_content_type_name,2022-01-09 06:00:35.149578
12,12,auth,0002_alter_permission_name_max_length,2022-01-09 06:00:35.196811
13,13,auth,0003_alter_user_email_max_length,2022-01-09 06:00:35.227189
14,14,auth,0004_alter_user_username_opts,2022-01-09 06:00:35.247845
15,15,auth,0005_alter_user_last_login_null,2022-01-09 06:00:35.289282
16,16,auth,0006_require_contenttypes_0002,2022-01-09 06:00:35.302028
17,17,auth,0007_alter_validators_add_error_messages,2022-01-09 06:00:35.322727
18,18,auth,0008_alter_user_username_max_length,2022-01-09 06:00:35.369510
19,19,auth,0009_alter_user_last_name_max_length,2022-01-09 06:00:35.414916
20,20,auth,0010_alter_group_name_max_length,2022-01-09 06:00:35.444067
21,21,auth,0011_update_proxy_permissions,2022-01-09 06:00:35.480002
22,22,auth,0012_alter_user_first_name_max_length,2022-01-09 06:00:35.669987
23,23,authtoken,0001_initial,2022-01-09 06:00:35.757037
24,24,authtoken,0002_auto_20160226_1747,2022-01-09 06:00:35.802895
25,25,authtoken,0003_tokenproxy,2022-01-09 06:00:35.817161
26,26,django_apscheduler,0001_initial,2022-01-09 06:00:36.019302
27,27,django_apscheduler,0002_auto_20180412_0758,2022-01-09 06:00:36.058470
28,28,django_apscheduler,0003_auto_20200716_1632,2022-01-09 06:00:36.095780
29,29,django_apscheduler,0004_auto_20200717_1043,2022-01-09 06:00:36.229518
30,30,django_apscheduler,0005_migrate_name_to_id,2022-01-09 06:00:36.284218
31,31,django_apscheduler,0006_remove_djangojob_name,2022-01-09 06:00:36.326237
32,32,django_apscheduler,0007_auto_20200717_1404,2022-01-09 06:00:36.373464
33,33,django_apscheduler,0008_remove_djangojobexecution_started,2022-01-09 06:00:36.413763
34,34,sessions,0001_initial,2022-01-09 06:00:36.476367
35,35,appStockAccount,0002_auto_20220111_1102,2022-01-11 11:02:40.574219
36,36,appStockAccount,0003_auto_20220111_1659,2022-01-11 16:59:54.282274
37,37,appStockAccount,0004_alter_user_name,2022-01-11 17:05:12.358349
38,38,appStockAccount,0005_user_is_staff,2022-01-11 17:09:51.923489
39,39,appStockAccount,0006_remove_user_is_staff,2022-01-11 17:15:54.448169
40,40,appStockAccount,0007_remove_user_is_registered,2022-01-11 17:17:45.720260
41,41,appStockAccount,0008_auto_20220111_1740,2022-01-11 17:40:48.968548
